;Accuracy;False Alarm;Missed
bicycle;0.0;4;896.0
car;1.7933503072248826e-14;328;12183.78929059615
truck;1.3931544570591987e-05;106;581.2049785971639
people;8.342732029541763e-15;134;9858.237280833822
bus;0.019888233566169908;15;208.27058015441094
