;Accuracy;False Alarm;Missed;
bicycle;0.0;4;896.0;
car;2.9491122552739007e-15;1037;12898.23460108982;
truck;3.0208366938842676e-06;120;598.0062470092992;
people;8.483347464844879e-16;201;9925.918648916282;
bus;0.005717527865296693;20;217.53688871347373;
