;Accuracy;False Alarm;Missed
bicycle;0.0;4;896.0
car;2.491267574463173e-14;115;11969.152333112595
truck;1.682704954099585e-05;103;577.6009356806067
people;2.078490656642725e-14;35;9758.230307574155
bus;0.02363557341543291;14;206.39039524289313
